29	3	61
82	0	73
21	15	104
130	7	100
97	14	108
114	4	90
26	4	2
17	3	23
50	3	27
54	10	107
86	8	51
48	9	116
130	5	23
98	0	128
40	5	11
7	3	122
47	6	8
84	13	107
60	4	108
103	7	109
57	5	10
109	17	22
60	26	104
96	16	67
51	3	109
77	3	43
130	14	20
37	1	92
58	1	58
46	15	104
33	5	71
99	26	43
48	19	51
71	2	100
104	9	109
31	3	119
37	6	22
40	1	6
15	3	37
6	3	90
106	3	14
86	17	37
96	3	60
8	1	29
105	23	95
48	3	102
59	2	85
54	0	110
34	30	91
62	6	89
37	8	16
89	2	46
106	15	9
86	17	104
45	0	6
14	2	52
29	7	4
73	0	28
10	8	2
90	14	87
39	17	6
74	6	68
0	3	37
56	17	103
95	12	130
107	3	29
1	7	96
120	5	16
24	16	117
30	5	67
29	6	44
54	1	29
114	3	117
11	0	85
86	19	0
88	6	29
57	3	17
77	3	16
34	26	54
81	5	31
121	15	18
45	3	98
131	3	89
57	39	54
70	7	33
102	3	115
129	2	49
90	19	50
25	3	109
90	12	7
27	10	2
99	33	30
28	3	72
29	12	127
0	6	80
68	25	35
125	5	47
83	5	91
67	4	40
33	3	6
92	16	81
51	5	30
60	6	28
69	4	50
58	19	29
48	7	69
96	0	66
99	19	103
118	6	7
19	3	28
78	24	72
105	10	70
45	2	36
14	4	37
24	3	32
58	3	79
122	6	68
105	12	131
125	19	87
72	6	116
9	10	116
75	3	85
58	3	37
31	8	110
121	3	56
100	14	58
124	7	28
108	6	64
85	3	104
86	3	120
118	22	87
2	3	130
21	4	40
15	14	101
20	16	1
117	5	12
3	12	81
37	19	7
78	7	96
82	19	100
75	4	7
9	5	115
19	16	130
31	5	9
52	1	88
10	19	122
93	3	28
8	3	40
16	30	43
64	3	99
114	8	90
108	3	104
58	6	20
120	4	37
26	0	97
17	12	58
97	19	27
7	22	58
51	24	4
72	6	84
106	2	36
103	6	66
89	5	43
35	18	90
102	3	32
108	3	19
119	10	41
121	4	50
86	17	57
95	29	112
47	0	96
28	12	132
40	15	88
21	4	103
38	16	131
42	4	14
0	6	43
122	8	61
21	17	115
62	26	0
97	2	70
11	6	50
122	3	85
81	15	54
0	4	40
28	6	53
4	25	33
32	5	23
23	6	37
77	3	15
69	3	85
77	41	22
132	14	32
63	2	15
60	4	118
70	2	101
28	12	60
15	2	130
86	21	73
112	2	29
108	8	104
52	22	70
90	7	124
115	14	32
51	8	90
118	29	92
10	14	40
21	12	9
71	0	120
84	6	102
72	3	58
17	6	87
82	19	39
122	22	97
39	16	56
53	6	89
82	19	8
91	7	128
57	3	15
100	3	104
51	3	6
4	2	69
55	1	100
84	6	121
20	10	11
29	7	91
99	6	71
79	3	22
85	6	101
132	5	44
89	6	8
90	3	15
20	10	94
6	15	21
102	6	68
39	3	35
6	2	60
74	16	117
70	5	91
120	16	81
29	3	49
37	17	85
103	12	57
103	5	63
129	17	10
34	30	11
100	12	65
103	10	99
10	3	130
131	14	27
95	4	53
121	3	75
102	3	20
84	6	43
62	4	61
55	8	40
127	39	39
98	7	7
14	12	37
14	2	100
87	6	60
4	3	56
124	5	66
19	5	10
49	2	95
28	3	63
108	6	109
40	3	78
50	2	32
20	16	23
33	17	43
43	3	127
20	0	54
91	19	100
109	2	58
8	6	13
19	0	62
32	7	58
58	26	3
87	8	128
91	3	3
111	19	103
40	8	62
77	23	106
126	3	103
98	1	108
77	12	9
94	2	98
19	2	58
3	12	84
64	30	108
89	2	107
77	23	97
29	3	51
67	5	30
51	3	50
19	4	73
54	23	84
108	12	72
84	6	82
86	17	82
64	29	98
9	2	23
89	12	131
114	2	62
105	21	130
47	6	72
127	6	47
14	42	16
82	12	14
109	3	40
68	17	96
31	5	112
104	32	104
69	21	37
28	19	40
35	12	58
77	4	105
40	6	31
97	15	131
118	17	107
76	20	51
73	30	108
107	5	48
85	19	37
33	15	76
114	3	28
97	1	50
104	10	15
121	10	66
0	12	67
123	3	53
85	2	52
66	14	12
57	16	52
122	1	79
17	6	39
93	19	29
79	12	96
105	5	69
17	3	69
50	12	45
97	0	14
69	15	80
103	5	98
96	32	72
25	6	14
85	6	74
53	17	63
40	12	4
27	0	49
3	12	56
49	0	21
13	4	3
70	3	5
110	16	3
46	5	66
66	15	107
54	17	114
81	14	96
71	1	103
87	6	25
71	19	93
70	39	23
90	6	62
57	15	43
89	3	91
79	3	131
46	0	90
67	3	100
1	12	12
32	25	18
48	0	131
25	3	103
97	3	62
32	3	13
67	39	54
122	23	17
79	2	82
71	3	73
122	1	51
92	0	29
90	12	93
21	7	58
41	2	69
18	3	87
7	15	103
7	6	80
37	3	88
90	3	61
17	5	98
80	19	50
27	15	128
104	10	65
47	3	112
29	21	84
103	0	37
56	3	18
78	6	85
12	2	122
63	0	77
58	6	76
17	15	3
51	9	31
91	3	130
37	3	40
130	5	130
108	5	98
100	2	46
74	5	131
50	12	27
127	7	29
50	6	23
76	6	37
46	19	0
123	3	89
1	2	107
76	1	121
105	7	88
95	3	89
79	3	80
4	14	57
113	0	90
126	19	81
10	19	10
44	6	90
94	6	73
61	32	8
115	19	89
13	7	14
32	24	72
41	19	46
75	2	15
41	18	86
125	3	34
44	5	125
96	3	118
132	2	49
102	3	113
39	23	107
21	36	26
7	5	74
112	10	43
32	19	121
46	1	100
88	6	56
10	3	56
56	9	35
119	0	85
19	0	54
131	5	63
78	16	130
70	1	0
36	16	56
13	16	131
1	0	15
39	3	121
102	5	18
86	25	35
84	17	100
45	0	129
31	6	68
115	1	28
131	6	0
109	0	125
10	0	21
62	3	90
53	10	33
21	3	28
17	5	84
19	15	59
3	3	100
58	33	4
84	6	117
73	6	82
35	1	28
80	6	40
30	26	9
80	8	2
97	16	75
115	16	75
26	2	59
92	12	131
2	6	29
44	19	19
132	14	62
0	32	72
87	6	88
59	3	9
93	5	132
101	14	58
115	5	82
120	19	94
57	26	117
121	3	103
66	7	75
5	19	29
73	15	74
36	5	31
25	1	28
4	5	87
90	12	31
50	8	6
38	12	100
92	17	28
21	0	35
81	12	75
68	24	72
85	12	39
121	0	66
126	5	48
122	1	24
24	5	25
114	12	53
51	13	108
101	19	50
43	5	75
105	3	6
9	15	12
50	19	50
128	17	4
81	19	7
65	0	15
63	12	81
100	3	94
1	4	0
51	9	75
108	6	70
29	10	24
91	21	73
73	12	75
94	15	13
5	3	87
108	2	36
121	12	98
12	5	73
132	7	34
80	3	84
70	5	46
39	17	55
105	2	89
12	2	130
65	0	62
39	0	103
85	17	99
