527	13	786
428	0	804
1340	6	1418
905	6	1418
426	24	886
1006	13	1166
1437	58	663
292	4	1197
1024	15	1472
983	34	583
413	27	1363
201	2	245
1288	67	1472
743	6	1035
891	0	350
1143	6	1238
1333	23	611
337	22	1047
1440	21	449
674	6	851
1003	6	961
1265	15	1400
1416	8	863
612	53	1363
1354	103	345
1364	2	281
986	4	69
1436	9	639
670	0	1002
1388	10	1035
350	14	151
1187	22	1015
339	22	784
1397	14	731
582	0	1422
641	6	852
721	6	1307
546	27	42
1054	14	1431
275	14	725
844	27	1445
614	66	700
1413	64	614
448	75	1355
1406	15	330
363	33	1475
898	48	570
187	6	707
1003	6	879
508	14	4
720	50	103
179	27	936
1071	6	1460
415	22	380
1143	6	871
702	27	209
1149	23	529
1139	2	260
393	3	1064
729	6	417
1334	6	849
749	8	189
145	14	316
401	6	582
99	14	724
499	55	583
352	27	725
1222	6	239
877	44	1364
1460	22	473
553	15	47
481	104	169
656	6	576
1325	6	9
1397	27	28
52	13	922
267	22	1256
1233	40	742
161	6	677
144	30	840
1199	6	58
380	7	1035
971	20	1192
858	0	145
911	125	657
990	27	249
370	53	403
369	77	1280
156	71	795
1297	6	949
410	6	1175
586	30	957
872	6	336
536	2	529
990	38	422
952	40	504
325	14	933
864	15	244
372	0	939
1163	21	164
981	73	904
1371	6	651
1197	94	1001
1043	13	786
930	14	252
246	54	1054
1319	6	427
634	25	483
285	2	1144
1242	0	303
805	75	1317
920	14	438
618	20	1175
1147	8	566
1043	6	583
508	2	529
743	0	788
915	67	450
306	111	1224
1314	6	314
1156	6	65
393	3	261
163	53	287
1252	76	535
755	22	375
1431	14	835
998	0	77
477	0	1489
1491	6	1383
612	6	971
280	14	770
1257	6	1035
24	6	1035
1313	6	1270
1265	116	464
904	14	252
544	14	1367
497	154	449
1264	2	393
945	23	582
940	67	235
677	80	14
581	55	981
583	65	260
1342	21	874
889	44	493
385	107	1055
449	69	1419
8	1	1012
708	10	1406
644	21	449
955	14	350
1195	42	305
1252	16	1046
1092	22	559
283	0	137
864	15	1450
978	43	1309
773	140	752
239	9	592
764	145	1090
671	14	929
416	9	921
1243	14	645
1235	6	1295
598	6	678
1054	28	369
251	14	1031
203	42	506
772	6	58
379	68	1475
591	3	211
1431	94	993
463	11	461
877	3	300
252	6	981
685	3	285
878	6	981
1181	15	1183
102	0	455
393	4	226
1445	43	828
790	6	808
1	6	808
742	6	1149
729	6	1229
1470	65	798
709	4	536
1242	0	397
629	25	853
359	14	825
1418	3	521
673	14	807
472	15	496
192	0	939
957	22	812
111	6	500
1231	6	1268
694	53	271
1285	22	1139
1099	64	1237
370	21	449
1275	25	1452
1427	0	158
1300	6	1492
273	2	667
470	0	782
172	6	1084
1281	6	486
567	25	279
292	2	941
1213	22	1318
1373	92	484
966	3	1279
914	0	176
1189	13	786
1468	8	863
1459	123	890
232	65	189
1286	46	414
1464	120	154
995	2	1198
851	0	2
455	77	259
815	43	78
1303	13	170
625	21	449
329	0	12
899	48	311
793	32	1141
176	14	387
438	14	1041
1416	12	438
634	25	143
1338	6	1415
513	6	1084
677	6	1383
1159	14	438
393	14	968
424	14	1451
473	22	1344
42	7	1035
441	6	1263
227	2	16
703	6	887
901	0	173
506	6	1263
668	7	787
616	2	233
379	86	402
452	0	888
1414	0	277
186	6	58
1285	22	463
1253	66	1440
1069	6	617
359	40	401
1442	43	1465
731	14	1292
1469	10	1035
1161	14	709
1212	6	725
666	7	1458
605	20	548
163	22	374
872	14	281
1082	0	1373
779	2	1432
1462	25	701
697	26	839
1093	14	445
629	6	1383
12	42	1469
430	55	1263
972	6	1035
1391	7	1035
240	14	986
663	6	852
142	27	23
193	7	1035
149	19	1001
1223	14	470
462	8	1282
1077	6	583
210	22	1351
206	128	1414
822	21	449
1094	110	10
485	2	1119
145	43	622
848	45	478
670	14	478
547	36	810
1261	0	470
1463	14	1430
889	44	1235
1382	0	1427
669	13	786
330	55	810
275	14	1233
659	0	1232
353	0	901
379	22	754
1081	24	270
789	25	453
200	23	1466
1345	0	1430
1186	6	1273
709	14	280
1250	22	939
1140	6	30
252	21	457
52	43	191
210	70	229
1038	6	1060
6	8	863
963	4	154
598	125	1176
580	22	594
1280	2	1110
394	2	1429
251	7	1035
799	15	1114
1188	21	1022
1039	22	472
1382	43	621
1244	27	209
380	15	167
1084	33	1455
214	15	1399
595	40	52
338	121	1055
1389	30	1055
217	6	606
1322	77	93
824	15	1491
1149	63	1219
1350	119	169
898	3	297
1078	14	573
769	14	1221
276	15	332
1264	8	566
1226	30	1055
105	3	64
596	30	1364
1207	0	281
1439	9	636
899	6	1035
1232	6	932
292	12	720
611	0	601
1138	161	108
1413	4	1429
950	6	293
1148	64	492
960	55	1084
466	27	209
413	0	380
614	54	1435
573	14	645
1122	14	436
904	115	117
392	6	1377
1311	9	1033
582	27	1377
1188	6	52
955	0	204
1191	157	1113
55	6	891
1429	4	167
1432	14	146
576	6	1402
1432	14	65
166	30	1055
735	3	1107
1231	6	236
1277	0	53
452	4	547
218	14	844
1211	21	926
408	6	949
1316	2	941
1007	30	1055
204	6	680
808	56	503
1356	6	758
884	6	58
1127	100	604
25	83	287
91	91	1200
99	3	793
243	21	449
1176	6	1059
